name,state,pop
Cuyamaca College,CA,7588.0
Cypress College,CA,14817.0
De Anza College,CA,20317.0
Marinello Schools of Beauty-Hemet,CA,1142.0
International School of Beauty Inc,CA,220.0
Dell'Arte International School of Physical Theatre,CA,24.0
College of the Desert,CA,8937.0
Design Institute of San Diego,CA,171.0
Diablo Valley College,CA,18314.0
Dominican University of California,CA,1448.0
Dominican School of Philosophy & Theology,CA,
East Los Angeles College,CA,32173.0
Marinello Schools of Beauty-Santa Clara,CA,547.0
El Camino Community College District,CA,22082.0
Elegance International,CA,374.0
Marinello Schools of Beauty-Burbank,CA,426.0
Marinello Schools of Beauty-Moreno Valley,CA,258.0
Emperor's College of Traditional Oriental Medicine,CA,
Empire College,CA,411.0
Evergreen Valley College,CA,7325.0
Fashion Institute of Design & Merchandising-Los Angeles,CA,3142.0
Fashion Institute of Design & Merchandising-San Francisco,CA,527.0
Fashion Institute of Design & Merchandising-Orange County,CA,156.0
Feather River Community College District,CA,1543.0
Federico Beauty Institute,CA,283.0
Fielding Graduate University,CA,
Five Branches University,CA,
Redondo Beach Beauty College,CA,37.0
Foothill College,CA,13478.0
Franciscan School of Theology,CA,
Fredrick and Charles Beauty College,CA,73.0
Fresno City College,CA,19770.0
Fresno Pacific University,CA,2605.0
Fuller Theological Seminary in California,CA,
Fullerton College,CA,22990.0
Gavilan College,CA,4754.0
Gemological Institute of America-Carlsbad,CA,215.0
Glendale Career College,CA,346.0
Golden Gate University-San Francisco,CA,482.0
Golden West College,CA,11466.0
Graduate Theological Union,CA,
Grossmont College,CA,16357.0
Salon Success Academy-Riverside,CA,27.0
Hartnell College,CA,9161.0
Harvey Mudd College,CA,802.0
Heald College-Rancho Cordova,CA,854.0
Heald College-Fresno,CA,1301.0
Heald College-San Jose,CA,1254.0
Heald College-San Francisco,CA,748.0
Heald College-Concord,CA,1230.0
Hilltop Beauty School,CA,109.0
Holy Names University,CA,690.0
Pacifica Graduate Institute,CA,
Humboldt State University,CA,7962.0
Humphreys College-Stockton and Modesto Campuses,CA,617.0
Imperial Valley College,CA,6958.0
Institute for Business and Technology,CA,196.0
Interior Designers Institute,CA,203.0
Toni & Guy Hairdressing Academy-Santa Monica,CA,225.0
Irvine Valley College,CA,11622.0
ITT Technical Institute-National City,CA,999.0
ITT Technical Institute-San Dimas,CA,551.0
ITT Technical Institute-Orange,CA,783.0
Bellus Academy-El Cajon,CA,145.0
John F. Kennedy University,CA,251.0
American Jewish University,CA,96.0
Reedley College,CA,12900.0
Life Pacific College,CA,479.0
Argosy University-The Art Institute of California-San Diego,CA,1634.0
University of La Verne,CA,5137.0
Laguna College of Art and Design,CA,543.0
Lake Tahoe Community College,CA,2190.0
Lancaster Beauty School,CA,124.0
Laney College,CA,9707.0
Lassen Community College,CA,2291.0
Life Chiropractic College West,CA,
Lincoln University,CA,119.0
Southern California Seminary,CA,62.0
La Sierra University,CA,2054.0
Loma Linda University,CA,1039.0
Long Beach City College,CA,22768.0
Southern California University of Health Sciences,CA,3.0
Los Angeles Harbor College,CA,8707.0
Los Angeles Pierce College,CA,18449.0
Los Angeles Southwest College,CA,5890.0
